model,variant,grade,chart_path
Iphone Se,"Iphone Se , 128GB",Grade A,"Grade_A/Iphone_Se_,_128GB.html"
Iphone Se,"Iphone Se , 256GB",Grade A,"Grade_A/Iphone_Se_,_256GB.html"
Iphone Se,"Iphone Se , 64GB",Grade A,"Grade_A/Iphone_Se_,_64GB.html"
Iphone Se,Iphone Se 256GB,Grade A,Grade_A/Iphone_Se_256GB.html
Iphone Se,Iphone Se 64GB,Grade A,Grade_A/Iphone_Se_64GB.html
Iphone X,Iphone X 64GB,Grade A,Grade_A/Iphone_X_64GB.html
Iphone Xs,Iphone Xs Max 512GB,Grade A,Grade_A/Iphone_Xs_Max_512GB.html
iPhone 11,iPhone 11 64GB,Grade A,Grade_A/iPhone_11_64GB.html
iPhone 11,iPhone 11 Pro 512GB,Grade A,Grade_A/iPhone_11_Pro_512GB.html
iPhone 11,iPhone 11 Pro Max 256GB,Grade A,Grade_A/iPhone_11_Pro_Max_256GB.html
iPhone 11,iPhone 11 Pro Max 512GB,Grade A,Grade_A/iPhone_11_Pro_Max_512GB.html
iPhone 12,iPhone 12 128GB,Grade A,Grade_A/iPhone_12_128GB.html
iPhone 12,iPhone 12 256GB,Grade A,Grade_A/iPhone_12_256GB.html
iPhone 12,iPhone 12 64GB,Grade A,Grade_A/iPhone_12_64GB.html
iPhone 12,iPhone 12 Mini 128GB,Grade A,Grade_A/iPhone_12_Mini_128GB.html
iPhone 12,iPhone 12 Mini 256GB,Grade A,Grade_A/iPhone_12_Mini_256GB.html
iPhone 12,iPhone 12 Mini 64GB,Grade A,Grade_A/iPhone_12_Mini_64GB.html
iPhone 12,iPhone 12 Pro 128GB,Grade A,Grade_A/iPhone_12_Pro_128GB.html
iPhone 12,iPhone 12 Pro 256GB,Grade A,Grade_A/iPhone_12_Pro_256GB.html
iPhone 12,iPhone 12 Pro 512GB,Grade A,Grade_A/iPhone_12_Pro_512GB.html
iPhone 12,iPhone 12 Pro Max 128GB,Grade A,Grade_A/iPhone_12_Pro_Max_128GB.html
iPhone 12,iPhone 12 Pro Max 256GB,Grade A,Grade_A/iPhone_12_Pro_Max_256GB.html
iPhone 12,iPhone 12 Pro Max 512GB,Grade A,Grade_A/iPhone_12_Pro_Max_512GB.html
iPhone 13,iPhone 13 128GB,Grade A,Grade_A/iPhone_13_128GB.html
iPhone 13,iPhone 13 256GB,Grade A,Grade_A/iPhone_13_256GB.html
iPhone 13,iPhone 13 512GB,Grade A,Grade_A/iPhone_13_512GB.html
iPhone 13,iPhone 13 Mini 128GB,Grade A,Grade_A/iPhone_13_Mini_128GB.html
iPhone 13,iPhone 13 Mini 256GB,Grade A,Grade_A/iPhone_13_Mini_256GB.html
iPhone 13,iPhone 13 Mini 512GB,Grade A,Grade_A/iPhone_13_Mini_512GB.html
iPhone 13,iPhone 13 Pro 128GB,Grade A,Grade_A/iPhone_13_Pro_128GB.html
iPhone 13,iPhone 13 Pro 256GB,Grade A,Grade_A/iPhone_13_Pro_256GB.html
iPhone 13,iPhone 13 Pro 512GB,Grade A,Grade_A/iPhone_13_Pro_512GB.html
iPhone 13,iPhone 13 Pro Max 128GB,Grade A,Grade_A/iPhone_13_Pro_Max_128GB.html
iPhone 13,iPhone 13 Pro Max 1TB,Grade A,Grade_A/iPhone_13_Pro_Max_1TB.html
iPhone 13,iPhone 13 Pro Max 256GB,Grade A,Grade_A/iPhone_13_Pro_Max_256GB.html
iPhone 13,iPhone 13 Pro Max 512GB,Grade A,Grade_A/iPhone_13_Pro_Max_512GB.html
iPhone 14,iPhone 14 128GB,Grade A,Grade_A/iPhone_14_128GB.html
iPhone 14,iPhone 14 256GB,Grade A,Grade_A/iPhone_14_256GB.html
iPhone 14,iPhone 14 512GB,Grade A,Grade_A/iPhone_14_512GB.html
iPhone 14,iPhone 14 Plus 128GB,Grade A,Grade_A/iPhone_14_Plus_128GB.html
iPhone 14,iPhone 14 Plus 256GB,Grade A,Grade_A/iPhone_14_Plus_256GB.html
iPhone 14,iPhone 14 Plus 512GB,Grade A,Grade_A/iPhone_14_Plus_512GB.html
iPhone 14,iPhone 14 Pro 128GB,Grade A,Grade_A/iPhone_14_Pro_128GB.html
iPhone 14,iPhone 14 Pro 256GB,Grade A,Grade_A/iPhone_14_Pro_256GB.html
iPhone 14,iPhone 14 Pro 512GB,Grade A,Grade_A/iPhone_14_Pro_512GB.html
iPhone 14,iPhone 14 Pro Max 128GB,Grade A,Grade_A/iPhone_14_Pro_Max_128GB.html
iPhone 14,iPhone 14 Pro Max 1TB,Grade A,Grade_A/iPhone_14_Pro_Max_1TB.html
iPhone 14,iPhone 14 Pro Max 256GB,Grade A,Grade_A/iPhone_14_Pro_Max_256GB.html
iPhone 14,iPhone 14 Pro Max 512GB,Grade A,Grade_A/iPhone_14_Pro_Max_512GB.html
iPhone 15,iPhone 15 128GB,Grade A,Grade_A/iPhone_15_128GB.html
iPhone 15,iPhone 15 256GB,Grade A,Grade_A/iPhone_15_256GB.html
iPhone 15,iPhone 15 512GB,Grade A,Grade_A/iPhone_15_512GB.html
iPhone 15,iPhone 15 Plus 128GB,Grade A,Grade_A/iPhone_15_Plus_128GB.html
iPhone 15,iPhone 15 Plus 256GB,Grade A,Grade_A/iPhone_15_Plus_256GB.html
iPhone 15,iPhone 15 Plus 512GB,Grade A,Grade_A/iPhone_15_Plus_512GB.html
iPhone 15,iPhone 15 Pro 128GB,Grade A,Grade_A/iPhone_15_Pro_128GB.html
iPhone 15,iPhone 15 Pro 256GB,Grade A,Grade_A/iPhone_15_Pro_256GB.html
iPhone 15,iPhone 15 Pro 512GB,Grade A,Grade_A/iPhone_15_Pro_512GB.html
iPhone 15,iPhone 15 Pro Max 1TB,Grade A,Grade_A/iPhone_15_Pro_Max_1TB.html
iPhone 15,iPhone 15 Pro Max 256GB,Grade A,Grade_A/iPhone_15_Pro_Max_256GB.html
iPhone 15,iPhone 15 Pro Max 512GB,Grade A,Grade_A/iPhone_15_Pro_Max_512GB.html
iPhone 16,iPhone 16 128GB,Grade A,Grade_A/iPhone_16_128GB.html
iPhone 16,iPhone 16 256GB,Grade A,Grade_A/iPhone_16_256GB.html
iPhone 16,iPhone 16 512GB,Grade A,Grade_A/iPhone_16_512GB.html
iPhone 16,iPhone 16 Plus 128GB,Grade A,Grade_A/iPhone_16_Plus_128GB.html
iPhone 16,iPhone 16 Plus 256GB,Grade A,Grade_A/iPhone_16_Plus_256GB.html
iPhone 16,iPhone 16 Plus 512GB,Grade A,Grade_A/iPhone_16_Plus_512GB.html
iPhone 16,iPhone 16 Pro 128GB,Grade A,Grade_A/iPhone_16_Pro_128GB.html
iPhone 16,iPhone 16 Pro 256GB,Grade A,Grade_A/iPhone_16_Pro_256GB.html
iPhone 16,iPhone 16 Pro 512GB,Grade A,Grade_A/iPhone_16_Pro_512GB.html
iPhone 16,iPhone 16 Pro Max 1TB,Grade A,Grade_A/iPhone_16_Pro_Max_1TB.html
iPhone 16,iPhone 16 Pro Max 256GB,Grade A,Grade_A/iPhone_16_Pro_Max_256GB.html
iPhone 16,iPhone 16 Pro Max 512GB,Grade A,Grade_A/iPhone_16_Pro_Max_512GB.html
Iphone Se,"Iphone Se , 128GB",Grade AA,"Grade_AA/Iphone_Se_,_128GB.html"
Iphone Se,"Iphone Se , 64GB",Grade AA,"Grade_AA/Iphone_Se_,_64GB.html"
Iphone Se,Iphone Se 64GB,Grade AA,Grade_AA/Iphone_Se_64GB.html
iPhone 11,iPhone 11 128GB,Grade AA,Grade_AA/iPhone_11_128GB.html
iPhone 11,iPhone 11 256GB,Grade AA,Grade_AA/iPhone_11_256GB.html
iPhone 11,iPhone 11 64GB,Grade AA,Grade_AA/iPhone_11_64GB.html
iPhone 12,iPhone 12 128GB,Grade AA,Grade_AA/iPhone_12_128GB.html
iPhone 12,iPhone 12 256GB,Grade AA,Grade_AA/iPhone_12_256GB.html
iPhone 12,iPhone 12 64GB,Grade AA,Grade_AA/iPhone_12_64GB.html
iPhone 12,iPhone 12 Mini 64GB,Grade AA,Grade_AA/iPhone_12_Mini_64GB.html
iPhone 12,iPhone 12 Pro 256GB,Grade AA,Grade_AA/iPhone_12_Pro_256GB.html
iPhone 12,iPhone 12 Pro Max 128GB,Grade AA,Grade_AA/iPhone_12_Pro_Max_128GB.html
iPhone 12,iPhone 12 Pro Max 256GB,Grade AA,Grade_AA/iPhone_12_Pro_Max_256GB.html
iPhone 13,iPhone 13 128GB,Grade AA,Grade_AA/iPhone_13_128GB.html
iPhone 13,iPhone 13 256GB,Grade AA,Grade_AA/iPhone_13_256GB.html
iPhone 13,iPhone 13 512GB,Grade AA,Grade_AA/iPhone_13_512GB.html
iPhone 13,iPhone 13 Pro 256GB,Grade AA,Grade_AA/iPhone_13_Pro_256GB.html
iPhone 13,iPhone 13 Pro 512GB,Grade AA,Grade_AA/iPhone_13_Pro_512GB.html
iPhone 13,iPhone 13 Pro Max 128GB,Grade AA,Grade_AA/iPhone_13_Pro_Max_128GB.html
iPhone 13,iPhone 13 Pro Max 256GB,Grade AA,Grade_AA/iPhone_13_Pro_Max_256GB.html
iPhone 13,iPhone 13 Pro Max 512GB,Grade AA,Grade_AA/iPhone_13_Pro_Max_512GB.html
iPhone 14,iPhone 14 128GB,Grade AA,Grade_AA/iPhone_14_128GB.html
iPhone 14,iPhone 14 256GB,Grade AA,Grade_AA/iPhone_14_256GB.html
iPhone 14,iPhone 14 512GB,Grade AA,Grade_AA/iPhone_14_512GB.html
iPhone 14,iPhone 14 Plus 128GB,Grade AA,Grade_AA/iPhone_14_Plus_128GB.html
iPhone 14,iPhone 14 Plus 256GB,Grade AA,Grade_AA/iPhone_14_Plus_256GB.html
iPhone 14,iPhone 14 Plus 512GB,Grade AA,Grade_AA/iPhone_14_Plus_512GB.html
iPhone 14,iPhone 14 Pro 128GB,Grade AA,Grade_AA/iPhone_14_Pro_128GB.html
iPhone 14,iPhone 14 Pro 256GB,Grade AA,Grade_AA/iPhone_14_Pro_256GB.html
iPhone 14,iPhone 14 Pro 512GB,Grade AA,Grade_AA/iPhone_14_Pro_512GB.html
iPhone 14,iPhone 14 Pro Max 128GB,Grade AA,Grade_AA/iPhone_14_Pro_Max_128GB.html
iPhone 14,iPhone 14 Pro Max 256GB,Grade AA,Grade_AA/iPhone_14_Pro_Max_256GB.html
iPhone 14,iPhone 14 Pro Max 512GB,Grade AA,Grade_AA/iPhone_14_Pro_Max_512GB.html
iPhone 15,iPhone 15 128GB,Grade AA,Grade_AA/iPhone_15_128GB.html
iPhone 15,iPhone 15 256GB,Grade AA,Grade_AA/iPhone_15_256GB.html
iPhone 15,iPhone 15 512GB,Grade AA,Grade_AA/iPhone_15_512GB.html
iPhone 15,iPhone 15 Plus 128GB,Grade AA,Grade_AA/iPhone_15_Plus_128GB.html
iPhone 15,iPhone 15 Plus 256GB,Grade AA,Grade_AA/iPhone_15_Plus_256GB.html
iPhone 15,iPhone 15 Plus 512GB,Grade AA,Grade_AA/iPhone_15_Plus_512GB.html
iPhone 15,iPhone 15 Pro 128GB,Grade AA,Grade_AA/iPhone_15_Pro_128GB.html
iPhone 15,iPhone 15 Pro 256GB,Grade AA,Grade_AA/iPhone_15_Pro_256GB.html
iPhone 15,iPhone 15 Pro 512GB,Grade AA,Grade_AA/iPhone_15_Pro_512GB.html
iPhone 15,iPhone 15 Pro Max 1TB,Grade AA,Grade_AA/iPhone_15_Pro_Max_1TB.html
iPhone 15,iPhone 15 Pro Max 256GB,Grade AA,Grade_AA/iPhone_15_Pro_Max_256GB.html
iPhone 15,iPhone 15 Pro Max 512GB,Grade AA,Grade_AA/iPhone_15_Pro_Max_512GB.html
iPhone 16,iPhone 16 128GB,Grade AA,Grade_AA/iPhone_16_128GB.html
iPhone 16,iPhone 16 Plus 128GB,Grade AA,Grade_AA/iPhone_16_Plus_128GB.html
iPhone 16,iPhone 16 Plus 256GB,Grade AA,Grade_AA/iPhone_16_Plus_256GB.html
iPhone 16,iPhone 16 Pro 128GB,Grade AA,Grade_AA/iPhone_16_Pro_128GB.html
iPhone 16,iPhone 16 Pro 256GB,Grade AA,Grade_AA/iPhone_16_Pro_256GB.html
iPhone 16,iPhone 16 Pro 512GB,Grade AA,Grade_AA/iPhone_16_Pro_512GB.html
iPhone 16,iPhone 16 Pro Max 256GB,Grade AA,Grade_AA/iPhone_16_Pro_Max_256GB.html
iPhone 16,iPhone 16 Pro Max 512GB,Grade AA,Grade_AA/iPhone_16_Pro_Max_512GB.html
Iphone 6S,Iphone 6S 64GB,Grade B,Grade_B/Iphone_6S_64GB.html
Iphone 7,Iphone 7 256GB,Grade B,Grade_B/Iphone_7_256GB.html
Iphone 7,Iphone 7 Plus 256GB,Grade B,Grade_B/Iphone_7_Plus_256GB.html
"Iphone 7,","Iphone 7, 32GB",Grade B,"Grade_B/Iphone_7,_32GB.html"
Iphone 8,Iphone 8 64GB,Grade B,Grade_B/Iphone_8_64GB.html
Iphone 8,Iphone 8 Plus 64GB,Grade B,Grade_B/Iphone_8_Plus_64GB.html
"Iphone 8,","Iphone 8, 64GB",Grade B,"Grade_B/Iphone_8,_64GB.html"
Iphone Se,"Iphone Se , 128GB",Grade B,"Grade_B/Iphone_Se_,_128GB.html"
Iphone Se,"Iphone Se , 64GB",Grade B,"Grade_B/Iphone_Se_,_64GB.html"
Iphone Se,Iphone Se 256GB,Grade B,Grade_B/Iphone_Se_256GB.html
Iphone Se,Iphone Se 64GB,Grade B,Grade_B/Iphone_Se_64GB.html
Iphone X,Iphone X 256GB,Grade B,Grade_B/Iphone_X_256GB.html
Iphone X,Iphone X 64GB,Grade B,Grade_B/Iphone_X_64GB.html
Iphone Xr,Iphone Xr 64GB,Grade B,Grade_B/Iphone_Xr_64GB.html
"Iphone Xr,","Iphone Xr, 64GB",Grade B,"Grade_B/Iphone_Xr,_64GB.html"
Iphone Xs,Iphone Xs 512GB,Grade B,Grade_B/Iphone_Xs_512GB.html
Iphone Xs,Iphone Xs Max 256GB,Grade B,Grade_B/Iphone_Xs_Max_256GB.html
